Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
230,293,236,238,230,218,214,198,204,186
202,290,238,240,232,217,209,205,205,193
215,291,236,238,227,215,210,205,212,195
208,288,238,230,234,216,209,213,197,196
203,285,241,235,231,215,206,210,204,199
