Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
182,192,133,123,120,112,109,95,81,104
163,194,136,124,120,112,109,87,84,105
182,198,126,124,119,113,102,83,105,105
179,192,131,124,119,112,108,82,102,104
175,200,130,125,120,114,96,90,106,105
