Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
225,297,240,224,224,206,202,194,200,196
200,298,241,227,212,204,202,195,197,203
210,294,234,224,221,201,203,195,200,195
205,295,238,225,220,201,200,196,192,197
205,297,240,225,220,205,200,196,201,197
