Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
237,302,253,245,240,220,196,189,202,222
213,300,251,247,240,218,193,183,203,246
231,300,251,246,240,214,206,210,193,241
228,300,251,244,237,201,201,211,201,234
227,303,250,245,238,192,190,189,203,236
