Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
231,283,226,212,204,207,206,205,208,190
212,286,227,208,202,206,202,204,231,192
228,287,234,214,202,204,206,207,270,193
218,291,221,201,211,211,203,204,314,191
217,287,224,215,218,195,205,205,188,192
