Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
203,176,178,177,175,176,172,173,171,171
181,175,178,177,175,175,171,173,171,171
200,175,178,176,174,173,172,172,172,170
199,175,176,177,174,171,174,172,171,170
197,175,177,177,173,173,172,172,172,170
