Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
203,172,172,169,167,165,165,165,164,164
180,173,171,171,167,166,166,166,164,162
192,171,171,170,167,167,164,166,163,162
193,170,171,169,168,166,164,164,164,162
190,171,170,168,168,165,165,164,165,156
