Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
12,20,31,32,34,34,33,31,32,33
10,20,35,32,35,33,34,32,34,30
10,19,33,30,34,34,34,34,33,32
10,18,32,32,34,35,34,31,32,33
10,18,32,32,34,35,34,31,32,33
