Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
23,37,56,55,58,63,61,56,58,57
17,34,54,54,59,63,60,62,56,57
18,34,55,53,58,61,60,57,58,53
18,34,53,55,56,62,62,60,57,54
18,33,55,55,59,60,61,59,62,58
