Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
14,21,35,33,36,36,38,36,38,38
9,20,34,34,36,37,37,36,37,37
10,18,32,34,35,39,35,38,37,36
9,18,33,34,36,36,36,38,36,36
10,18,34,34,35,36,35,38,37,35
