Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
22,34,55,52,56,58,43,39,51,53
17,32,48,53,56,50,53,55,53,50
19,33,55,52,56,54,57,32,48,41
18,35,55,50,57,57,58,55,52,27
18,34,54,51,55,52,57,51,54,28
