Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
23,17,16,16,16,16,16,16,16,16
17,17,16,16,16,16,16,16,16,16
18,17,16,16,16,16,16,16,16,16
18,17,16,16,16,16,16,16,16,16
18,17,16,16,16,16,16,16,16,16
