Thread1,Thread2,Thread4,Thread8,Thread16,Thread32,Thread48,Thread64,Thread80,Thread96
13,18,25,19,20,22,21,21,21,23
9,18,26,19,21,22,22,21,19,23
10,18,25,19,21,22,20,22,18,23
10,18,27,19,20,22,21,21,20,23
10,18,28,19,21,22,20,21,23,23
